127.0.0.1 - - [21/Mar/2023:22:54:38 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Mar/2023:22:54:39 +0700] "GET /assignment3/pay.jsp HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [21/Mar/2023:22:54:39 +0700] "GET /assignment3/css/extra-css.css HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [21/Mar/2023:22:54:39 +0700] "GET /assignment3/prj.png HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Mar/2023:22:54:39 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:09 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3226
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:09 +0700] "GET /assignment3/css/extra-css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:09 +0700] "GET /assignment3/prj.png HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:09 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3226
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:09 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:26 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:26 +0700] "GET /assignment3/img/prj.png HTTP/1.1" 200 11396
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:43:26 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:18 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:18 +0700] "GET /assignment3/img/thiet-ke-logo HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:18 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:33 +0700] "GET /assignment3/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:33 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:33 +0700] "GET /assignment3/img/thiet-ke-logo.jpg HTTP/1.1" 200 98785
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:45:33 +0700] "GET /assignment3/home.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:47:33 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:47:33 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:47:57 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:47:57 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:48:01 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:48:01 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:48:43 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:48:43 +0700] "GET /assignment3/img/thiet-ke-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:48:43 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:49:16 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:49:16 +0700] "GET /assignment3/img/thiet-ke-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:49:16 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:49:27 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [21/Mar/2023:23:49:27 +0700] "GET /assignment3/header.jsp HTTP/1.1" 200 1804
